iter	Passed	Remaining
249	1234	3704
250	1239	3698
251	1244	3692
252	1248	3687
253	1253	3681
254	1258	3675
255	1262	3669
256	1266	3662
257	1271	3657
258	1276	3652
259	1281	3647
260	1285	3640
261	1290	3633
262	1295	3629
263	1299	3623
264	1304	3616
265	1308	3609
266	1312	3603
267	1317	3598
268	1321	3592
269	1326	3586
270	1331	3581
271	1336	3576
272	1340	3570
273	1345	3564
274	1349	3558
275	1354	3553
276	1359	3547
277	1363	3541
278	1368	3535
279	1372	3529
280	1377	3523
281	1381	3517
282	1386	3512
283	1391	3506
284	1395	3501
285	1400	3496
286	1405	3491
287	1409	3485
288	1413	3478
289	1418	3472
290	1423	3467
291	1428	3462
292	1432	3456
293	1437	3451
294	1442	3446
295	1446	3441
296	1451	3436
297	1456	3430
298	1460	3424
299	1465	3419
300	1470	3413
301	1474	3408
302	1479	3402
303	1483	3397
304	1488	3391
305	1492	3385
306	1497	3380
307	1501	3373
308	1505	3367
309	1509	3360
310	1514	3354
311	1517	3347
312	1522	3341
313	1526	3335
314	1531	3330
315	1536	3324
316	1540	3319
317	1544	3313
318	1549	3308
319	1554	3303
320	1558	3297
321	1563	3291
322	1568	3286
323	1572	3281
324	1577	3276
325	1581	3270
326	1586	3265
327	1591	3260
328	1595	3254
329	1600	3248
330	1604	3243
331	1608	3237
332	1613	3231
333	1617	3226
334	1622	3221
335	1627	3215
336	1631	3210
337	1636	3205
338	1640	3198
339	1645	3193
340	1649	3187
341	1654	3182
342	1658	3177
343	1663	3172
344	1668	3167
345	1672	3161
346	1676	3154
347	1680	3148
348	1685	3144
349	1689	3138
350	1694	3133
351	1699	3128
352	1703	3122
353	1708	3117
354	1714	3114
355	1718	3109
356	1723	3103
357	1727	3098
358	1732	3093
359	1737	3088
360	1742	3084
361	1747	3079
362	1751	3074
363	1757	3070
364	1761	3064
365	1766	3059
366	1770	3053
367	1775	3048
368	1779	3042
369	1784	3037
370	1788	3032
371	1795	3031
372	1806	3036
373	1816	3040
374	1825	3042
375	1833	3042
376	1839	3040
377	1849	3042
378	1853	3037
379	1857	3031
380	1862	3026
381	1867	3020
382	1871	3015
383	1876	3009
384	1880	3003
385	1883	2996
386	1887	2989
387	1892	2985
388	1896	2979
389	1901	2973
390	1906	2969
391	1911	2964
392	1915	2958
393	1920	2953
394	1924	2947
395	1928	2941
396	1933	2936
397	1937	2931
398	1942	2926
399	1947	2921
400	1952	2916
401	1956	2911
402	1960	2904
403	1965	2899
404	1969	2894
405	1974	2888
406	1978	2882
407	1983	2877
408	1987	2872
409	1992	2867
410	1997	2862
411	2001	2856
412	2005	2850
413	2010	2845
414	2014	2840
415	2020	2836
416	2024	2830
417	2029	2825
418	2033	2819
419	2038	2814
420	2042	2809
421	2047	2804
